Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
IEEE Guide for the Electromagnetic Characterization of Conductive Gaskets in the Frequency Range of DC to 18 GHz,,,IEEE Std 1302-1998,20020806,1998,,,i,,"Information to assist users of gaskets in evaluating gasket measurement techniques to determine which reveal the properties critical to the intended application, to highlight limitations and sources of error of the competing measurement techniques, and to provide a basis for comparing the techniques is provided. Emphasis is placed on those measurement techniques that have been adopted through incorporation into standards, both commercial and military, or that have been used extensively.",,,10.1109/IEEESTD.1998.89197,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=749113,,Electromagnetic interference,electromagnetic interference,EMI gaskets;IEEE Standard;conductive gaskets;electromagnetic characterisation;electromagnetic interference gaskets;electromagnetic shielding;error sources;gasket measurement techniques;measurement techniques;reverberation chamber;stirred mode;transfer impedance,,0,,9,,,,1998,,IEEE,IEEE Standards
IEEE Guide for the Electromagnetic Characterization of Conductive Gaskets in the Frequency Range of DC to 18 GHz,,,IEEE Std 1302-2008 (Revision of IEEE Std 1302-1998),20090220,2009,,,C1,46,"Information to assist users of gaskets in evaluating gasket measurement techniques to determine which exhibit the properties critical to the intended application, to highlight limitations and sources of error of the competing measurement techniques, and to provide a basis for comparing the techniques is provided in this guide. Emphasis is placed on those measurement techniques that have been adopted through incorporation into standards, both commercial and military, or that have been used extensively.",,,10.1109/IEEESTD.2009.4783158,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4783158,"aperture transmission, electromagnetic shielding, EMI gaskets, measurement techniques, reverberation chamber, shielding effectiveness, stirred mode, transfer impedance",Data mining;Gaskets;IEEE standards;Measurement techniques;Probability density function;Standards;Standards Board,conducting bodies;electromagnetic compatibility;electromagnetic shielding;gaskets,aperture transmission;conductive gaskets;electromagnetic characterization;electromagnetic shielding;frequency 18 GHz;gasket measurement techniques,,0,,8,,,,Feb. 9 2009,,IEEE,IEEE Standards
IEEE Guide for the Evaluation and Reconditioning of Liquid Immersed Power Transformers,,,IEEE Std C57.140-2006,20070507,2007,,,c1,67,"This guide includes guidelines for the following: insulating oil maintenance and diagnostics, oil reclamation, testing methods for the determination of remaining insulation (paper) life, and upgrades of auxiliary equipment such as bushings, gauges, deenergized tap changers (DETCs), load tap changers (LTCs) (where applicable), and coil reclamping. The goal of this guide is to assist the user in extending the useful life of a transformer.",,,10.1109/IEEESTD.2007.353650,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4168522,,,IEEE standards;paper;power transformer insulation;power transformer testing;remaining life assessment;transformer oil,DETC;IEEE C57.140TM-2006 standard;LTC;bushing;coil reclamping;deenergized tap changer;gauge;insulating oil maintenance;liquid immersed power transformer;load tap changer;oil reclamation;paper;remaining insulation life;transformer testing method,,2,,18,,,,April 27 2007,,IEEE,IEEE Standards
IEEE Guide for the Evaluation of the Reliability of Hvdc Converter Stations,,,IEEE Std 1240-2000,20020807,2001,,,i,,"This guide is intended to serve high-voltage direct current (HVDC) converter station reliability by suggesting significant objectives, design, operation, monitoring, and specification details. This guide includes the CIGRE performance protocol and reliability-related mathematical concepts.",,,10.1109/IEEESTD.2001.245621,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=905229,,IEEE standards,HVDC power convertors;IEEE standards;reliability;substations,CIGRE performance protocol;HVDC converter station reliability;IEEE Standard;high-voltage direct current converter station;reliability-related mathematical concepts,,2,,14,,,,13 Feb. 2001,,IEEE,IEEE Standards
IEEE Guide for the Functional Specification of Fixed-Series Capacitor Banks for Transmission System Applications,,,IEEE Std 1726-2013,20140307,2014,,,1,120,"General guidelines toward the preparations of a functional specification of transmission fixed-series capacitor (FSC) banks using overvoltage protection based on three technologies are provided. The three technologies are:- metal oxide varistors-metal oxide varistors with a forced-triggered bypass gaps, and thyristor protected series capacitors- thyristor protected series capacitor. This guide does not apply comprehensively to thyristor-controlled series capacitors.",,,10.1109/IEEESTD.2014.6759723,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6759723,IEEE 1726(TM);bypass gap;capacitor bank;capacitor segment;discharge reactor;metal-oxide varistor;protective level;reactive compensation;series capacitor;series compensation;subsynchronous resonance risk (SSR);trigger circuit;triggered gap;varistor,Capacitors;Compensation;Electric discharges;IEEE standards;MONOS devices;Reactive power;Reactors;Varistors,IEEE standards;overvoltage protection;power capacitors;thyristor applications;varistors,FSC banks;IEEE Std 1726-2013;IEEE guide;fixed-series capacitor banks;forced-triggered bypass gaps;functional specification;metal oxide varistors;overvoltage protection;thyristor protected series capacitors;thyristor-controlled series capacitors;transmission fixed-series capacitor banks;transmission system applications,,0,,,,,,March 7 2014,,IEEE,IEEE Standards
IEEE Guide for the Functional Specification of Transmission Static Var Compensators - Redline,,,IEEE Std 1031-2011 (Revision of IEEE Std 1031-2000) - Redline,20111010,2011,,,1,106,An approach to preparing a specification for a transmission static var compensator is documented by this guide. The intention of this document is to serve as a base specification with an informative annex provided to allow users to modify or develop specific clauses to meet a particular application.,,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6042281,IEEE 1031;filters;harmonics;static var compensators;static var system;thyristor valves;thyristor-controlled reactor (TCR);thyristor-switched capacitor (TSC);thyristor-switched reactor (TSR),Filters;Harmonic analysis;IEEE standards;Static VAr compensators;Thyristors;Valves,IEEE standards;static VAr compensators,IEEE Std 1031ŠÜ¢-2011;IEEE guide;base specification;functional specification;informative annex;transmission static var compensator transmission,,0,,11,,,,June 17 2011,,IEEE,IEEE Standards
IEEE Guide for the Functional Specification of Transmission Static Var Compensators,,,IEEE Std 1031-2011(Revision of IEEE Std 1031-2000),20110628,2011,,,1,89,An approach to preparing a specification for a transmission static var compensator is documented by this guide. The intention of this document is to serve as a base specification with an informative annex provided to allow users to modify or develop specific clauses to meet a particular application.,,,10.1109/IEEESTD.2011.5936078,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5936078,IEEE 1031;filters;harmonics;static var compensators;static var system;thyristor valves;thyristor-controlled reactor (TCR);thyristor-switched capacitor (TSC);thyristor-switched reactor (TSR),IEEE standards;Power transmission;Reactive power;Static VAr compensators,,,,0,,12,,,,June 17 2011,,IEEE,IEEE Standards
IEEE Guide for the Grounding of Instrument Transformer Secondary Circuits and Cases,,,ANSI/IEEE Std C57.13.3-1983,20020806,1988,,,0_1,,"The primary emphasis of this guide is personnel safety and proper performance of relays at powerline frequencies. Historically, it has been common practice in the US to connect some part of the secondary circuit of voltage and current transformers to the station ground system. The present preferred practice is to locate this safety ground with suitable ground isolation test facilities at the first point of application (switchboard or relay panel) of the instrument transformer secondary circuit. The circuit ground isolation facilities will permit convenient testing of circuit insulation to ground. Previous publications have made significant contributions to consistency in some areas of grounding practices. The guide will include those contributions that are generally practiced today, make revisions where present experience and practice indicate them to be desirable, and make recommendations in new areas of interest not previously addressed. Diagrams are included to illustrate the recommendations.<<ETX>>",,,10.1109/IEEESTD.1988.81048,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=27858,,Grounding;Insulation testing;Power transformers;Safety;Standards,earthing;insulation testing;power transformers;safety;standards;transformer testing,IEEE;circuit insulation testing;current transformers;ground isolation test facilities;grounding;instrument transformer;performance;personnel safety;powerline frequencies;relays;secondary circuit;transformer cases;transformer circuits;voltage transformers,,0,,1,,,,1988,,IEEE,IEEE Standards
IEEE Guide for the Implementation of Inductive Coordination Mitigation Techniques and Application,,,IEEE Std 1137-1991,20020806,1992,,,0_1,,"IEEE Std 1137-1991 provides guidance for controlling or modifying the inductive environment and the susceptibility of affected wire line telecommunications facilities in order to operate within the acceptable levels of steady-state or surge induced voltages of the environmental interface (probe wire) defined by IEEE Std 776-1987 (Guide for Inductive Coordination of Electric Supply and Communications Lines). Procedures for determining the source of the problem are given. Mitigation theory and philosophy are discussed, and mitigation devices are described. The application of typical mitigation apparatus and techniques and installation, maintenance, and inspection of mitigation apparatus are addressed. Advice for determining the best engineering solution is offered, and general safety considerations are discussed.<<ETX>>",,,10.1109/IEEESTD.1992.114463,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=213713,,Communication standards;Electromagnetic compatibility;Electromagnetic induction;Electromagnetic interference;Power cables;Wire communication cables,electromagnetic compatibility;electromagnetic induction;electromagnetic interference;power cables;telecommunication standards;telecommunication transmission lines,EMC;EMI;IEEE Std 1137-1991;IEEE Std 776-1987;electric supply lines;engineering solution;environmental interface;inductive environment;inspection;installation;maintenance;mitigation apparatus;mitigation devices;mitigation techniques;probe wire;safety considerations;steady state voltages;surge induced voltages;susceptibility;wire line telecommunications facilities,,0,,5,,,,1992,,IEEE,IEEE Standards
IEEE Guide for the Implementation of Inductive Coordination Mitigation Techniques and Applications--Corrigendum 1,,,IEEE STD 1137-1991/Cor1-2009,20091023,2009,,,1,12,"IEEE Std 1137trade-1991 provides guidance for controlling or modifying the inductive environment and the susceptibility of affected wire line telecommunications facilities in order to operate within the acceptable levels of steady-state or surge induced voltages of the environmental interface (probe wire) defined by IEEE Std 776trade-1987. Procedures for determining the source of the problem are given. Mitigation theory and philosophy are discussed, and mitigation devices are described. The application of typical mitigation apparatus is addressed. Advice for determining the best engineering solution is offered, and general safety considerations are discussed.",,,10.1109/IEEESTD.2009.5290504,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5290504,1137-1991 Cor1-2009;ICEP;coordination;coupling;harmonic;impedance;inductive;influence;mitigation;mutual;noise;power;susceptibility,Harmonic analysis;IEEE Standards;Impedance;Noise measurement,IEEE standards;telecommunication standards,IEEE Std 1137-1991;IEEE Std 776-1987;IEEE guide;inductive coordination mitigation techniques;wire line telecommunications facilities,,0,,,,,,Oct. 16 2009,,IEEE,IEEE Standards
IEEE Guide for the Installation of Electrical Equipment to Minimize Electrical Noise Inputs to Controllers from External Sources,,,IEEE Std 518-1982,20021210,1982,,,1,121,"Techniques for the installation and operation of industrial controllers, so as to minimize the disturbing effects of electrical noise on these controllers, are addressed. The identification of noise in control circuits and the classification of noise are discussed. A systems approach to noise reduction is presented. Installation recommendations and wiring practices are covered.",,,10.1109/IEEESTD.1982.120311,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=19513,Control systems;Electromagnetic interference;Wiring;electrical;equipment;inputs;minimize;noise,Noise;Standards,controllers;interference suppression;standards,control systems;controllers;electrical noise;installation;noise reduction;standard;wiring practices,,4,,2,,,,Oct. 1 1982,,IEEE,IEEE Standards
IEEE Guide for the Installation of Overhead Transmission Line Conductors,,,IEEE Std 524-2016 (Revision of IEEE Std 524-2003),20170426,2017,,,1,162,"General recommendations for the selection of methods, equipment, and tools that have been found to be practical for the stringing of overhead transmission line conductors and overhead groundwires are provided.",,Electronic:978-1-5044-2140-9,10.1109/IEEESTD.2017.7912224,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7912224,IEEE 524;overhead groundwires;overhead transmission line conductors,Conductors;Grounding;IEEE Standards;Installations;Power transmission lines;Wiring,IEEE standards;overhead line conductors,IEEE Guide;IEEE Std 524-2016;Revision of IEEE Std 524-2003;overhead groundwire;overhead transmission line conductor installation,,,,,,,,April 28 2017,,IEEE,IEEE Standards
IEEE Guide for the Interconnection of User-Owned Substations to Electric Utilities,,,IEEE Std 1109-1990,20020806,1990,,,1,30,"IEEE Std 1109-1990, IEEE Guide for the Interconnection of User-Owned Substations to ElectricUtilities, provides a checklist and selected guidance, for persons not normally practicing in this specialized field, of major technical design areas that should be considered when interconnecting user-owned and utility-owned facilities at substations. Only medium- and high-voltage purchased-power interconnections are addressed. This guide does not discuss the considerable implications of interactive power systems design and operation, nor does it present criteria or directions for the design of substations.",,Electronic:978-0-7381-1005-9,10.1109/IEEESTD.1990.114384,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=210978,high-voltage purchased-power interconnections;interconnections;medium-voltage purchased-power interconnections;non-utility generation;substations;user-owned and utility-owned facilities at substations,Interconnected power systems;Standards;Substations,power system interconnection;standards;substations,HV;IEEE guide;MV;design;power system interconnection;standards;substations,,1,,16,,,,July 17 1990,,IEEE,IEEE Standards
IEEE Guide for the Interpretation of Gases Generated in Oil-Immersed Transformers - Redline,,,IEEE Std C57.104-2008 (Revision of IEEE Std C57.104-1991) - Redline,20110811,2009,,,1,45,"Detailed procedures for analyzing gas from gas spaces or gas-collecting devices as well as gas dissolved in oil are described. The procedures cover: 1) the calibration and use of field instruments for detecting and estimating the amount of combustible gases present in gas blankets above oil, or in gas detector relays; 2) the use of fixed instruments for detecting and determining the quantity of combustible gases present in gas-blanketed equipment; 3) obtaining samples of gas and oil from the transformer for laboratory analysis; 4) laboratory methods for analyzing the gas blanket and the gases extracted from the oil; and 5) interpreting the results in terms of transformer serviceability. The intent is to provide the operator with useful information concerning the serviceability of the equipment. An extensive bibliography on gas evolution, detection, and interpretation is included.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5983371,C57.104-2008;gas analysis;oil;oil-filled transformers;transformers,Gas detectors;IEEE standards;Oil filled cables;Transformers,gas sensors;transformers,IEEE guide;combustible gases;gas detection;gas detector;gas evolution;gas-collecting devices;oil-immersed transformers;redline;transformer serviceability,,1,,176,,,,Feb. 2 2009,,IEEE,IEEE Standards
IEEE Guide for the Interpretation of Gases Generated in Oil-Immersed Transformers,,,IEEE Std C57.104-1991,20020806,1992,,,0_1,,"Detailed procedures for analyzing gas from gas spaces or gas-collecting devices as well as gas dissolved in oil are described for use in power transformers. The procedures cover: (1) the calibration and use of field instruments for detecting and estimating the amount of combustible gases present in gas blankets above oil, or in gas detector relays; (2) the use of fixed instruments for detecting an determining the quantity of combustible gases present in gas-blanketed equipment; (3) obtaining samples of gas and oil from the transformer for laboratory analysis; (4) laboratory methods for analyzing the gas blanket and the gases extracted from the oil; and (5) interpreting the results in terms of transformer serviceability. The intent is to provide the operator with positive and useful information concerning the serviceability of the equipment. An extensive bibliography on gas evolution, detection, and interpretation is included.<<ETX>>",,,10.1109/IEEESTD.1992.106973,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=182866,,Chemical analysis;Electric breakdown;Gas detectors;Insulation;Insulation testing;Oil insulation;Power transformers;Standards;Transformers,chemical analysis;chemical variables measurement;electric breakdown of liquids;gas sensors;insulating oils;insulation testing;power transformers;standards;transformer insulation,IEEE guide;calibration;combustible gases;field instruments;gas detector;insulating oils;insulation testing;laboratory analysis;power transformers;serviceability,,7,,4,,,,1992,,IEEE,IEEE Standards
IEEE Guide for the Measurement of DC Transmission Line and Earth Electrode Line Parameters,,,IEEE Std 1893-2015,20160225,2016,,,1,37,"Field testing methodology and techniques are presented for measuring parameters for dc transmission lines and earth electrode lines are discussed in this guide. The topics addressed include the basic requirements of measurement, safety cautions, requirements for test instruments, testing induced voltage and current, verifying the polarity and testing insulation resistance, measuring dc resistance, measuring the impedance frequency characteristic, and various factors that can distort measurements.",,,10.1109/IEEESTD.2016.7419218,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7419218,IEEE 1893(TM);distributed parameters;impedance frequency characteristic;open-circuit impedance;short-circuit impedance;transmission line parameters,IEEE Standards;Impendance;Parameter estimation;Power distribution;Power transmission lines;Short circuits,IEEE standards;earth electrodes;power overhead lines;power transmission protection,DC transmission line measurement;IEEE Std 1893-2015;dc resistance measurement;earth electrode line parameters;impedance frequency characteristic measurement;safety cautions;test instruments;testing induced current;testing induced voltage;testing insulation resistance,,,,,,,,Feb. 25 2016,,IEEE,IEEE Standards
IEEE Guide for the Measurement of Partial Discharges in AC Electric Machinery,,,IEEE Std 1434-2014 (Revision of IEEE Std 1434-2000),20141203,2014,,,1,89,"A review of the nature of partial discharge in machine windings, how it can be measured under both off-line and on-line conditions, how it can be measured for individual form wound coils or bars, and the significance and limitations of the measured values are covered in this standard.",,,10.1109/IEEESTD.2014.6973042,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6973042,IEEE 1434(TM);ac electric machine windings;electrical insulation;form-wound bars;form-woundcoils;partial discharge,AC machines;Dielectrics;IEEE standards;Partial dischrages;Windings,AC machines;IEEE standards;machine windings;partial discharge measurement,AC electric machinery;IEEE guide;bars;machine windings;partial discharges measurement;wound coils,,0,,,,,,Dec. 4 2014,,IEEE,IEEE Standards
IEEE Guide for the Preparation of Excitation System Specifications,,,IEEE Std 421.4-1990,20020806,1990,,,1,,"The purpose of the guide is to aid in the preparation of procurement specifications for excitation systems for synchronous machines rated 5000 kVA or larger. Exciter rating considerations and exciter power source considerations are looked at. Protection, environmental and enclosure considerations, and tests are also discussed.<<ETX>>",,,10.1109/IEEESTD.1990.101060,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=159325,,Standards;Synchronous machines;Testing,exciters;machine protection;standards;synchronous machines;testing,IEEE guide;enclosure considerations;environmental considerations;excitation systems;exciter power source considerations;exciter ratings;protection;synchronous machines;tests,,3,,12,,,,1990,,IEEE,IEEE Standards
IEEE Guide for the Preparation of Excitation System Specifications,,,IEEE Std 421.4-2004 (Revision of IEEE Std 421.4-1990),20041122,2004,,,1,44,This guide is intended to provide to the specification writer the information to prepare a specification for the purchase of an excitation system. This guide is presented in narrative form with descriptions of functions typical of excitation systems. Narrative is provided describing types of excitation systems and information required for sizing the excitation system.,,,10.1109/IEEESTD.2004.95430,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1358970,communications;compound exciters;derivative (PID);digital;excitation guide;exciter types;integral;potential;potential source exciters;power system stabilizers;redundant controllers;rotating exciters,Communication services;Digital systems;Exciters;IEEE standards;Power system reliability;Redundant controllers;Stability,,,,0,,9,,,,Dec. 20 2004,,IEEE,IEEE Standards
IEEE Guide for the Preparation of Excitation System Specifications,,,IEEE Std 421.4-2014 (Revision of IEEE Std 421.4-2004),20140422,2014,,,1,57,This guide is intended to provide to the specification writer the information to prepare a specification for the purchase of an excitation system. This guide is presented in narrative form with descriptions of functions typical of excitation systems. Narrative is provided describing types of excitation systems and information required for sizing the excitation system.,,,10.1109/IEEESTD.2014.6803835,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6803835,IEEE 421.4;communications;compound exciters;digital;excitation guide;exciter types;potential integral derivative (PID);potential source exciters;power system stabilizers;redundant controllers;rotating exciters,Communication services;Digital systems;Exciters;IEEE standards;Power system reliability;Redundant controllers,IEEE standards;power system stability;synchronous machines,IEEE Std 421.4-2004;IEEE Std 421.4-2014;IEEE guide;excitation system sizing;excitation system specifications;power system stabilizers;synchronous machines,,0,,,,,,April 21 2014,,IEEE,IEEE Standards
IEEE Guide for the Preparation of a Transmission Line Design Criteria Document,,,IEEE Std 1724-2011,20110602,2011,,,1,32,"A suggested outline for information that should be included in a design criteria for overhead transmission lines is presented in this guide. This guide is not a design criteria or a design manual, it is a listing of the information that is required during the design of a transmission line, and provides guidance for line designers in the collection and documentation of how the line was designed; including the sources of information used in design and the design approach used.",,,10.1109/IEEESTD.2011.5783877,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5783877,IEEE 1724;design criteria;load factors;structure loads,Conductors;Design methodology;IEEE standards;Poles and towers;Power transmission lines;Resists,design engineering;power overhead lines,IEEE guide;design manual;overhead transmission lines;transmission line design criteria document,,0,,10,,,,May 27 2011,,IEEE,IEEE Standards
IEEE Guide for the Presentation of Thermal Limit Curves for Squirrel Cage Induction Machines,,,IEEE Std 620-1996,20020806,1996,,,i,,"In this IEEE standard thermal limit curves for induction machines are defined. A procedure is established for the presentation of these curves, and guidance for the interpretation and use of these curves for machine thermal protection is provided This guide applies to three-phase squirrel cage induction machines. 250 hp (200 kW) and above. It is intended to be used for machines designed for specified load and application conditions. However, it may also be used for smaller, general purpose machines if application and load conditions are specified.",,,10.1109/IEEESTD.1996.81041,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=511267,,Induction motors,squirrel cage motors,200 kW;IEEE standard;load conditions;machine thermal protection;thermal limit curves;three-phase squirrel cage induction machines,,2,1,27,,,,1996,,IEEE,IEEE Standards
IEEE Guide for the Protection of Communication Installations from Lightning Effects,,,IEEE Std 1692-2011,20110817,2011,,,1,39,The document addresses methods and practices necessary to reduce the risk of damages to communications equipment within structures arising from lightning surges causing GPR (ground potential rise) and similar potential differences.,,,10.1109/IEEESTD.2011.5991905,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5991905,IEEE 1692;communications equipment;lightning;protection;towers,Communication equipment;IEEE standards;Lightning protection;Poles and towers;Power system restoration;Power transmission lines;Telephone poles,IEEE standards;lightning protection;surges;telecommunication equipment,IEEE Std 1692-2011;IEEE guide;communication installations;communications equipment;ground potential rise;lightning effects;lightning surges,,2,,2,,,,Aug. 15 2011,,IEEE,IEEE Standards
IEEE Guide for the Protection of Network Transformers,,,ANSI/IEEE Std C37.108-1989,20020806,1989,,,0_1,,"Network transformer vaults are fire retardant enclosures within buildings or adjacent to them that contain two or more power transformers. These transformers are supplied from different subtransmission or distribution lines and are paralleled on their low-voltage side through circuit interrupting devices called 'network protectors.' Historically, users have depended upon the physical design of the vault to limit the risks of fault damage for faults within the vault. This guide is intended to aid those engineers who have re-evaluated the risks associated with faults within network vaults, particularly for those network vaults located within or near high-rise buildings. It also identifies available devices that are being used in network transformer protection schemes. These devices act to sense the fault and initiate fault interruption locally or remotely, thereby minimizing damage and restoration time. These devices are described as to their fault detecting capabilities.<<ETX>>",,,10.1109/IEEESTD.1989.94806,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89875,,Fault location;Power transformers;Protection;Standards;Transformers,fault location;power transformers;standards;transformer protection,ANSI/IEEE standard;fault detection;fault interruption;fault risks;fault sensing;network transformers;transformer protection;transformer vaults,,1,,17,,,,1989,,IEEE,IEEE Standards
IEEE Guide for the Protection of Shunt Capacitor Banks - Redline,,,IEEE Std C37.99-2012 (Revision of IEEE Std C37.99-2000) - Redline,20131107,2013,,,1,299,This guide applies to the protection of shunt power capacitor banks and filter capacitor banks. Included are guidelines for reliable applications of protection methods intended for use in many shunt capacitor applications and designs. The guide does not include the protection of pole mounted capacitor banks on distribution circuits or capacitors connected to rotating machines.,,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6657672,Filter bank;Shunt capacitor bank;bank configuration;externally fused;fuseless;internally fused;overcurrent.;overvoltage;relay;unbalance protection,Capacitors;Current measurement;FIlter banks;IEEE standards;Relays;Shunt capacitors;Voltage control,,,,0,,,,,,March 8 2013,,IEEE,IEEE Standards
IEEE Guide for the Protection of Shunt Capacitor Banks,,,IEEE Std C37.99-2012 (Revision of IEEE Std C37.99-2000),20130319,2013,,,1,151,"The protection of shunt power capacitor banks and filter capacitor banks are discussed in this guide. The guidelines for reliable application of protection methods intended for use in many shunt capacitor bank designs are included. Also, a detailed explanation of the theory of unbalance protection principles is provided. Discussions on the protection of pole-mounted capacitor banks on distribution circuits or capacitors connected to the terminals of rotating machines are not included as they are outside the scope of this standard.",,,10.1109/IEEESTD.2013.6482148,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6482148,Filter bank;Shunt capacitor bank;bank configuration;externally fused;fuseless;internally fused;overcurrent.;overvoltage;relay;unbalance protection,Capacitors;Filter banks;IEEE standards;Relays;Shunt capacitors;Voltage control,IEEE standards;power capacitors;power filters;power system protection;power system reliability,IEEE Guide;IEEE Std C37.99-2000;distribution circuits;filter capacitor banks;protection methods;reliable application;shunt capacitor banks;theory of unbalance protection principles,,0,,,,,,March 8 2013,,IEEE,IEEE Standards
IEEE Guide for the Protection of Shunt Reactors - Redline,,,IEEE Std C37.109-2006 (Revision of IEEE Std C37.109-1988) - Redline,20120405,2007,,,1,46,"A comprehensive guide to the methods and configurations for the protection of power system shunt reactors is provided in this guide. The protection of oil-immersed reactors equipped with auxiliary power windings, improved turn-to-turn protection, and use of digital (microprocessor-based) protection for shunt reactors are included.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6178231,air-core;auxiliary power winding;circuit switcher;dry-type reactors;microprocessorbased relays;neutral reactor;oil-immersed;pole disagreement;protection;protective relay;reactance;resonance;series-compensated;shunt reactors;turn-to-turn,Auxiliary transmitters;IEEE standards;Oil insulation;Protective relays;Resonance;Shunt (electrical);Windings,IEEE standards;microprocessor chips;power system protection;reactors (electric);transformer oil;transformer windings,IEEE Std C37.109-1988 Revision;IEEE Std C37.109-2006;IEEE guide;auxiliary power windings;digital protection;microprocessor-based protection;oil-immersed reactor protection;power system shunt reactor protection;turn-to-turn protection,,0,,,,,,April 23 2007,,IEEE,IEEE Standards
IEEE Guide for the Protection of Shunt Reactors,,,ANSI/IEEE Std C37.109-1988,20020806,1989,,,0_1,,"This guide covers protection of shunt reactors used typically to compensate for capacitive shunt reactance of transmission lines. A survey of shunt reactor protection, conducted in 1979 by the Shunt Reactor Protection Working Group of the IEEE Power System Relaying Committee, was used as a reference to determine the more common circuit arrangements and protective relaying schemes in use. Other arrangements or special applications of reactors such as harmonic filter banks, static VAR compensation (SVC), high voltage direct current (HVDC), or current-limiting reactors are not specifically addressed; however, the protective methods described in this guide are usually applicable to this equipment.<<ETX>>",,,10.1109/IEEESTD.1989.94807,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89878,,Compensation;Inductors;Power transmission lines;Protective relaying;Standards,compensation;electric reactance;power transmission lines;reactors (electric);relay protection;standards,ANSI/IEEE standard;capacitive shunt reactance;circuit arrangements;compensation;protection;protective relaying;shunt reactors;transmission lines,,0,,11,,,,1989,,IEEE,IEEE Standards
IEEE Guide for the Protection of Shunt Reactors,,,IEEE Std C37.109-2006 (Revision of IEEE Std C37.109-1988),20070430,2007,,,1,39,The purpose of this guide is to provide users of shunt reactors acceptable methods and configurations for the protection of power system shunt reactors.,,,10.1109/IEEESTD.2007.353409,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4168388,air-core;auxiliary power winding;circuit switcher;dry-type reactors;microprocessorbased relays;neutral reactor;oil-immersed;pole disagreement;protection;protective relay;reactance;resonance;series-compensated;shunt reactors;turn-to-turn,,IEEE standards;power system protection;reactors (electric),IEEE guide;power system shunt reactors;shunt reactor protection,,0,1,2,,,,April 23 2007,,IEEE,IEEE Standards
IEEE Guide for the Protection of Stationary Battery Systems,,,IEEE Std 1375-1998,20020806,1998,,,i,,"Guidance in the protection of stationary battery systems is provided. For the purposes of this guide, stationary battery systems include the battery and DC components to and including the first protective device downstream of the battery terminals. This guide does not set requirements; rather, it presents a number of options to the DC system designer of the different types of stationary battery system protection available.",,,10.1109/IEEESTD.1998.87900,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=705934,,Batteries,secondary cells,DC components;IEEE Standard;circuit breaker;current limiting;equipment grounding;fuse;lead-acid batteries;nickel-cadmium batteries;overvoltage protection;short-circuit current;stationary battery systems protection;system grounding;temperature compensation;undervoltage protection,,0,,27,,,,1998,,IEEE,IEEE Standards
