http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&refinements%3D4294965216%2C4226526127%26queryText%3Dstandards,6/29/17 15:42,,,,,,,,,,,,,,,text,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Category
"IEEE Standard Requirements, Terminology, and Test Code for Shunt Reactors Rated Over 500 kVA - Redline",,,IEEE Std C57.21-2008 (Revision of IEEE Std C57.21-1990) - Redline,20130815,2008,,,1,101,"All oil-immersed or dry-type, single-phase or three-phase, outdoor or indoor shunt reactors rated over 500 kVA are covered. Terminology and general requirements are stated, and the basis for rating shunt reactors is set forth. Routine, design, and other tests are described, and methods for performing them are given. Losses and impedance, temperature rise, dielectric tests, and insulation levels are covered. Construction requirements for oil-immersed reactors and construction and installation requirements for dry-type reactors are presented. This standard also covers thyristor-controlled shunt reactors used in static var compensators.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6581831,C57.21-2008;dielectric tests;dry-type shunt reactor;oil-immersed shunt reactor,Codes;Dielectrics;IEEE standards;Shunt reactors;Terminology;Testing,,,,0,,,,,,Aug. 1 2008,,IEEE,IEEE Standards,
"IEEE Standard for Requirements, Terminology, and Test Code for Dry-Type Air-Core Series-Connected Reactors - Redline",,,IEEE Std C57.16-2011 (Revision of IEEE Std C57.16-1996) - Redline,20130815,2012,,,1,194,"Recommendations are given for reactors intended for series connection, in both transmission and distribution systems, to control power flow under steady-state conditions and/or limit fault current under short-circuit conditions. Dry-type air-core reactors covered by this standard are self-cooled by natural air convection. With some restrictions, other reactors, including filter reactors, shunt capacitor reactors (used with shunt capacitor banks), and discharge current-limiting reactors (used with series capacitor banks) are also covered.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6581852,IEEE C57.16;air-core reactors;discharge current-limiting reactors;dry-type air-core reactors;drytype reactors;filter reactors;harmonic filters;reactors;series capacitor bank applications;series reactor applications;series-connected reactors;shunt capacitor bank applications;shunt capacitor reactors,Current limiters;Discharges (electric);Filters;Harmonic filters;IEEE standards;Reactors;Shunt capacitors,,,,0,,,,,,Feb. 2 2012,,IEEE,IEEE Standards,
"IEEE Standard Specifications for Surge Protectors Used in Low-Voltage Data, Communications,and Signaling Circuits - Redline",,,IEEE Std C62.64-2009 (Revision of IEEE Std C62.64-1997) - Redline,20130815,2009,,,1,83,"Surge protectors for application on multiconductor and coaxial, balanced orunbalanced, data, communications, and signaling circuits with voltages less than or equal to1000 V rms or 1200 V dc are covered. These surge protectors are multiple-component series orparallel combinations of one or more nonlinear elements and zero or more linear elements. Thetables of typical performance values provide a means of comparison among various surgeprotectors. They also provide a common engineering language beneficial to the user andmanufacturer of surge protectors used in low-voltage data, communications, and signalingcircuits.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6581780,C62.64-2009;low voltage;performance;surge protector,IEEE standards;Low power electronics;Power system reliability;Surge protection;Voltage control,,,,0,,,,,,Dec. 18 2009,,IEEE,IEEE Standards,
IEEE Standard Performance Requirements for Communications and Control Cables for Application in High-Voltage Environments,,,IEEE Std 789-2013,20130815,2013,,,1,48,Information to assist in determining the electrical parameters of communication and control cables necessary to improve the overall reliability of these cables when used in high-voltage environments is the objective of this standard. There should be a very high probability (greater than 99%) that these cables will perform their intended function for specified periods of time in high-voltage interference conditions. The end result being more reliable communications over said cables. The information presented in this standard will apply equally to either new or existing [already installed] cables.,,,10.1109/IEEESTD.2013.6581807,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6581807,IEEE 789;communication cables;design requirements;electrical parameters;ground potential rise;high-voltage engineering;testing requirements;wires,Communication equipment;Grounding;High-voltage techniques;IEEE standards;Power cables;Power system testing,electromagnetic interference;high-voltage engineering;telecommunication cables,IEEE Std 789-2013;IEEE standard performance;communication cable;communication reliability;electrical parameter;high-voltage environment;high-voltage interference condition,,0,,,,,,Aug. 13 2013,,IEEE,IEEE Standards,design
IEEE Standard for Standard SystemC Language Reference Manual - Redline,,,IEEE Std 1666-2011 (Revision of IEEE Std 1666-2005) - Redline,20130815,2012,,,1,1163,"SystemC(R) is defined in this standard. SystemC is an ANSI standard C++ class library for system and hardware design for use by designers and architects who need to address complex systems that are a hybrid between hardware and software. This standard provides a precise and complete definition of the SystemC class library so that a SystemC implementation can be developed with reference to this standard alone. The primary audiences for this standard are the implementors of the SystemC class library, the implementors of tools supporting the class library, and the users of the class library. This PDF of this standard is available at no charge in PDF format, thanks to the Open System C Initiative. http://www.systemc.org/home/.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6581816,C++;IEEE 1666;SystemC;computer languages;digital systems;discrete event simulation;electronic design automation;electronic system level;electronic systems;embedded software;fixed-point;hardware description language;hardware design;hardware verification;system modeling;system-on-chip;transaction level,Computer languages;Digital systems;Discrete-time systems;Electronic design automation and methodology;Embedded systems;Hardware verification;IEEE standards;Software engineering;System-on-chip,,,,0,,,,,,Jan. 9 2012,,IEEE,IEEE Standards,system
IEEE Standard Test Interface Language (STIL) for Digital Test Vector Data-Core Test Language (CTL),,,IEEE Std 1450.6-2005,20130802,2013,,,1,120,"The Core Test Language (CTL) is a language created for a System-on-Chip flow (or SoC flow), where a design created by one group is reused as a sub-design of a design created by another group. In an SoC flow, the smaller design embedded in the larger design is commonly called a core and the larger design is commonly called the SoC. The core is a design provided by a core provider, and the task of incorporating the sub-design into the SoC is called Core System Integration.",,,10.1109/IEEESTD.2013.6573314,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6573314,Core Test Language (CTL);Standard Test Interface Language (STIL);System-on-Chip (SoC);unwrapped core;wrapped core,Core testing;IEEE standards;Interface states;System-on-chip;Testing;Wrapped cores,,,,0,,,,,,Sept. 10 2013,,IEEE,IEEE Standards,System
IEEE Standard for Management Information Base (MIB) Definitions for Ethernet,,,IEEE Std 802.3.1-2013 (Revision of IEEE Std 802.3.1-2011),20130731,2013,,,1,415,"The Management Information Base (MIB) module specifications for IEEE Std 802.3TM, also known as Ethernet, are contained in this standard. It includes the Structure of Management Information Version 2 (SMIv2) MIB module specifications formerly produced and published by the Internet Engineering Task Force (IETF), as well as extensions resulting from amendments to IEEE Std 802.3. The SMIv2 MIB modules are intended for use with the Simple Network Management Protocol (SNMP), commonly used to manage Ethernet.",,,10.1109/IEEESTD.2013.6572796,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6572796,Ethernet;IEEE 802.3.1TM;Management Information Base (MIB);Simple Network Management Protocol (SNMP);Structure of Management Information Version 2 (SMIv2);network management,EPON;IEEE 802.3 Standards;IEEE Computer Society;Materials;Object recognition,IEEE standards;local area networks;protocols,Ethernet;IEEE Std 802.3.1TM-2013;IEEE standard;MIB definition;MIB module specification;SNMP;management information base;simple network management protocol,,0,,,,,,Aug. 2 2013,,IEEE,IEEE Standards,Management
IEEE Standard Criteria for Digital Computers in Safety Systems of Nuclear Power Generating Stations,,,IEEE Std 7-4.3.2-2010 (Revision of EEE Std 7-4.3.2-2003),20130726,2010,,,1,82,"Additional computer specific requirements to supplement the criteria and requirements of IEEE Std 603-2009 are specified. Within the context of this standard, the term computer is a system that includes computer hardware, software, firmware, and interfaces. The criteria contained herein, in conjunction with criteria in IEEE Std 603-2009, establish minimum functional and design requirements for computers used as components of a safety system.",,Electronic:978-0-7381-6316-1,10.1109/IEEESTD.2010.6570486,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6570486,commercial grade item;diversity;safety systems;software;software tools;software verification and validation,Electrical safety;IEEE standards;Nuclear power generation;Power distribution;Safety;Software development,,,,0,,,,,,Aug. 2 2010,,IEEE,IEEE Standards,software
Standard for Information Technology--Software Life Cycle Processes--Software Development--Acquirer-Supplier Agreement (Issued for Trial Use),,,J-STD-016-1995,20130725,1996,,,1,232,"Withdrawn Standard. This standard defines a set of software development activities and resulting software products. It provides a framework for software development planning and engineering. It is also intended to merge commercial and Government software development requirements within the framework of the software life cycle process requirements of the Electronic Industries Association (EIA), Institute of Electrical and Electronics Engineers (IEEE) and International Organization for Standardization (ISO). The term software development is used as an inclusive term encompassing new development, modification, reuse, reengineering, maintenance, and all other processes or activities resulting in software products.",,,10.1109/IEEESTD.1996.6569022,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6569022,builds incremental development;database;joint technical management reviews;operational concept;reusable software;risk management;security privacy protection;software configuration management;software development;software documentation;software implementation;software maintenance;software management indicators;software product evaluation;software quality assurance;software requirements definitions;software safety;software testing;software unit;tailoring,Documentation;IEEE standards;Privacy;Quality assurance;Reusability;Risk management;Software maintenance;Software quality;Software testing,,,,0,,,,,,March 13 1996,,IEEE,IEEE Standards,software
IEEE Standard Criteria for Class IE Power Systems for Nuclear Power Generating Stations,,,IEEE Std 308-1974 (Revision of IEEE Std 308-1971 and ANSI N41.12-1975),20130724,1974,,,1,12,"This standard applies to the electric systems in stationary single unit and multi-unit nuclear power generating stations that provide electric power to the Class IE equipment. The electric systems included are comprised of the following interrelated systems: (1)alternating-current power systems, (2) direct-current power systems, (3) vital instrumentation and control power systems. This standard also contains requirements for non-Class IE interfaces such as the preferred power supply. The purpose of this standard is to provide: the principal design criteria and the design features of the Class IE power systems that enable the systems to meet their functional requirement under the conditions produced by the applicable design basis events; and the requirements for surveillance of the class IE power system.",,,10.1109/IEEESTD.1974.6568019,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6568019,switchyard;transmission lines;transmission network.,IEEE standards;Inductors;Instruments;Power supplies;Safety,IEEE standards;nuclear power stations;power apparatus;power system security,Class IE equipment;Class IE power system surveillance;IEEE standard 308-1978;IEEE standard criteria;alternating-current power system;control power systems;direct-current power system;multiunit nuclear power generating station;nonClass IE interface;single-unit nuclear power generating station;vital instrumentation,,1,,,,,,Feb. 28 1974,,IEEE,IEEE Standards,network
IEEE Standard for Qualifying Class IE Equipment for Nuclear Power Generating Stations,,,IEEE Std 323-1974 (Revision of IEEE 323-1971 and ANSI N41.5-1971),20130724,1974,,,1,25,"This document describes the basic requirements for qualifying Class IE equipment and interfaces that are to be used in nuclear power generating stations. The requirements presented include the principles, procedures, and methods of qualification. These qualification requirements, when met, will confirm the adequacy of the equipment design under normal, abnormal, design basis event, post design basis event, and containment test conditions for the performance of Class IE functions.",,,10.1109/IEEESTD.1974.6568022,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6568022,,Aging;Atmospheric modeling;Committees;Documentation;IEEE standards;Power engineering;Qualifications,IEEE standards;nuclear power stations,IEEE Std 323-1974;IEEE standard;class IE equipment;containment test conditions;design basis event;equipment design;nuclear power generating stations;post design basis event;qualification requirements,,0,,,,,,Sept. 22 1974,,IEEE,IEEE Standards,
IEEE Standard Adoption of ISO/IEC 15026-3 -- Systems and Software Engineering -- Systems and Software Assurance -- Part 3: System Integrity Levels,,,IEEE Std 15026-3-2013,20130711,2013,,,1,51,"The concept of integrity levels with corresponding integrity level requirements that are required to be met in order to show the achievement of the integrity level are specified in this adoption of ISO/IEC 15026-3:2011. It places requirements on and recommends methods for defining and using integrity levels and their integrity level requirements, including the assignment of integrity levels to systems, software products, their elements, and relevant external dependences. This standard is applicable to systems and software and is intended for use by the following: Definers of integrity levels such as industry and professional organizations, standards organizations, and government agencies; Users of integrity levels such as developers and maintainers, suppliers and acquirers, users, and assessors of systems or software and for the administrative and technical support of systems and/or software products. One important use of integrity levels is by suppliers and acquirers in agreements; for example, to aid in assuring safety, economic, or security characteristics of a delivered system or product. This standard does not prescribe a specific set of integrity levels or their integrity level requirements. In addition, it does not prescribe the way in which integrity level use is integrated with the overall system or software engineering life cycle processes. This standard can be used alone or with other parts of ISO/IEC 15026. It can be used with a variety of technical and specialized risk analysis and development approaches. ISO/IEC TR 15026-1 provides additional information and references to aid users of IEEE Std 15026-3.",,,10.1109/IEEESTD.2013.6557405,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6557405,IEEE 15026-3;adoption;argument;assurance case;claim;dependability;evidence;integrity level;property;reliability;safety;security;software assurance;software engineering;system assurance;systems engineering,IEEE standards;Power system reliability;Quality assurance;Safety;Software assurance;Software engineering;Systems engineering and theory,IEC standards;IEEE standards;ISO standards;quality assurance;software quality;software reliability,IEEE 15026-3-2013;IEEE Standard adoption;ISO/IEC 15026-3:2011;ISO/IEC TR 15026-1;software assurance;software engineering;software engineering life cycle process;software products;specialized technical risk analysis;system integrity level requirement,,0,,,,,,July 12 2013,,IEEE,IEEE Standards,software
IEEE Standard for Electric Penetration Assemblies in Containment Structures for Nuclear Power Generating Stations,,,IEEE Std 317-2013 (Revision of IEEE Std 317-1983),20130711,2013,,,1,54,"An electric penetration assembly is an assembly of insulated electric conductors, conductor seals, module seals (if any), and aperture seals that provides the passage of the electric conductors through a single aperture in the nuclear containment structure, while providing a pressure barrier between the inside and the outside of the containment structure. The electric penetration assembly includes terminal (junction) boxes, terminal blocks, connectors and cable supports, and splices which are designed and furnished as an integral part of the assembly. Requirements for the design, construction, qualification, test, and installation of electric penetration assemblies in nuclear containment structures for stationary nuclear power generating stations are prescribed in this standard. Criteria intended to facilitate the determination of the features of design, construction, test, qualification, and installation relative to the electric penetration assemblies of primary containments of the nuclear facilities that comply with the United States Nuclear Regulatory Commission's Code of Federal Regulations (10CFR50) are presented in this standard.",,,10.1109/IEEESTD.2013.6557399,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6557399,DBE;IEEE 317;LVP;MVP;SAC;aperture seals;class MC components;conductor seals;containment electricpenetration assembly;containment penetrations;control power penetrations;design basisevents;electric penetration assembly;electrical penetration assembly;fiber seals;instrumentation penetrations;low voltage power penetrations;medium voltage powerpenetrations;module seals;penetration feedthroughs;penetration modules;qualified life;severe accident conditions,Apertures;Conductors;IEEE standards;Power system assembly;Power system restoration;Safety;Voltage control,IEEE standards;assembling;conductors (electric);electric connectors;nuclear power stations,IEEE Std 317-1983 revision;IEEE Std 317-2013;IEEE standard;United States Nuclear Regulatory Commission Code of Federal Regulations;aperture seals;cable supports;conductor seals;connectors;containment structures;electric penetration assembly;insulated electric conductor assembly;module seals;nuclear containment structure;nuclear facilities;pressure barrier;splices;stationary nuclear power generating stations;terminal blocks;terminal boxes,,0,,,,,,July 17 2013,,IEEE,IEEE Standards,design
IEEE Standard for Performance of DC Overhead Current Collectors for Rail Transit Vehicles,,,IEEE Std 1629-2013,20130701,2013,,,1,55,"The general characteristics of pantographs that enable current collection from an overhead contact system on light rail and heavy rail transit systems are described. Definitions pertinent to pantographs, including general definitions, specific pantograph terminology, pantograph components, pantograph dimensions, and operating characteristics are contained in the standard. The operating requirements that need to be defined by the purchaser of pantographs are stated. In addition, standard dimensions for the collector head and contact strip, various pantograph mechanical and operational requirements, environmental conditions, and maintainability and documentation requirements are specified. Various testing methodologies and requirements are also included.",,,10.1109/IEEESTD.2013.6550024,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6550024,IEEE 1629;collector head;contact strip;gradient;heavy rail;light rail;overhead contact system;pantograph;rail vehicle;railway;streetcar;tracking;traction;tramcar;transit,IEEE standards;Pantographs;Power transmission lines;Rail transportation;Railway electrification;Tracking,IEEE standards;pantographs;railway rolling stock,DC overhead current collectors;IEEE standard;collector head;contact strip;documentation requirements;environmental conditions;heavy rail transit systems;light rail transit systems;operational requirements;overhead contact system;pantographs;rail transit vehicles,,0,,,,,,June 28 2013,,IEEE,IEEE Standards,system
IEEE Standard for WirelessMAN-Advanced Air Interface for Broadband Wireless Access Systems --Amendment 2: Higher Reliability Networks,,,IEEE Std 802.16.1a-2013 (Amendment to IEEE Std 802.16.1-2012),20130627,2013,,,1,319,Enhancements to the WirelessMAN-Advanced Air Interface to support high-reliability networks are specified in this amendment to IEEE Std 802.16.1-2012.,,,10.1109/IEEESTD.2013.6547982,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6547982,GRIDMAN;IEEE 802.16.1TM;IEEE 802.16.1aTM;IEEE 802.16.1bTM;IEEE 802.16TM;IMT-Advanced radio interface;WirelessMAN-Advanced Air Interface;amendment;broadband wireless access (BWA);higher reliability networks;mobile broadband;orthogonal frequency-division multiple access (OFDMA);wireless metropolitan area networks,Air interfaces;Broadband;IEEE standards;Local area networks;Metropolitan area networks;Mobile communication;OFDM;Wireless LAN,IEEE standards;WiMax;broadband networks;computer network reliability;radio access networks,IEEE Std 802.16.1-2012;IEEE Std 802.16.1a-2013;IEEE standard;broadband wireless access system;network reliability;wireless MAN-advanced air interface,,0,,,,,,June 25 2013,,IEEE,IEEE Standards,wireless
IEEE Standard for Interfaces and Protocols Enabling Distributed Decision Making for Optimized Radio Resource Usage in Heterogeneous Wireless Networks,,,IEEE Std 1900.4.1-2013,20130620,2013,,,1,131,"Interfaces and service access points defined in IEEE Std 1900.4ä‹¢ are described in detail, enabling distributed decision making in heterogeneous wireless networks and obtaining context information for this decision making.",,,10.1109/IEEESTD.2013.6544530,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6544530,IEEE 1900.4TM;distributed decision making;dynamic spectrum access;heterogeneous wireless networks;interface;protocol;radio resource usage optimization,Decision making;IEEE standards;Optimization;Radio spectrum management;Resource management;Wireless networks,IEEE standards;decision making;protocols;radio access networks,IEEE Std 1900.4.1TM-2013;IEEE standard;distributed decision making;heterogeneous wireless network;interface;optimized radio resource usage;protocol;service access point,,0,,,,,,June 24 2013,,IEEE,IEEE Standards,wireless
"IEEE Standard Test Procedure for Thermal Evaluation of Insulation Systems for Dry-Type Power and Distribution Transformers, Including Open-Wound, Solid-Cast, and Resin-Encapsulated Transformers",,,IEEE Std C57.12.60-2009/Cor 1-2013 (Corrigendum to IEEE Std C57.12.60-2009),20130617,2013,,,1,14,This corrigendum clarifies temperature control for aging experiments in 4.5.1 that was a result of the combination of the two previous test standards. This corrigendum selects the method from the two which should have been used in the combined test standard represented by the 2009 version. This document also makes one minor editorial change in 4.4.,,,10.1109/IEEESTD.2013.6541944,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6541944,IEEE C57.12.60;insulation systems;model transformer coils;open-wound transformers;resin-encapsulated transformers;solid-cast transformers;thermal evaluation,IEEE standards;Insulation;Solid-cast transformers;Thermal management;Transformers,IEEE standards;ageing;power transformer insulation;power transformer testing;temperature control;thermal insulation,IEEE Std C57.12.60-2009 corrigendum;IEEE Std C57.12.60-2009-Cor 1-2013;IEEE standard test procedure;aging experiments;distribution transformers;dry-type power transformers;insulation systems;open-wound transformers;resin-encapsulated transformers;solid-cast transformers;temperature control;thermal evaluation,,0,,,,,,June 14 2013,,IEEE,IEEE Standards,systems
IEEE Standard for Local and metropolitan area networks--Station and Media Access Control Connectivity Discovery Corrigendum 1: Technical and Editorial Corrections,,,IEEE Std 802.1AB-2009/Cor 1-2013 (Corrigendum to IEEE Std 802.1AB-2009),20130617,2013,,,1,23,Technical and editorial errors identified by the IEEE 802.1 Working Group's maintenance activity are corrected by this corrigendum.,,,10.1109/IEEESTD.2013.6541947,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6541947,IEEE 802.1AB;link layer discovery protocol;management information base;topology discovery;topology information,IEEE standards;Local area networks;Management information base;Media Access Protocol;Metropolitan area networks;Network topology,IEEE standards;access protocols,IEEE Std 802.1AB-2009;connectivity discovery;editorial error identification;link layer discovery protocol;media access control;station control;technical error identification;topology information,,0,,,,,,June 14 2013,,IEEE,IEEE Standards,management
IEEE Standard for Air Interface for Broadband Wireless Access Systems--Amendment 2: Higher Reliability Networks,,,IEEE Std 802.16n-2013 (Amendment to IEEE Std 802.16-2012),20130612,2013,,,1,168,Enhancements to the Wireless MAN-OFDMA air interface to support higher reliability networks are specified in this amendment to IEEE Std 802.16-2012.,,,10.1109/IEEESTD.2013.6530596,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6530596,BWA;GRIDMAN;IEEE 802.16TM;IEEE 802.16nTM;IMT-2000 radio interface;OFDMA;WirelessMAN-OFDMA Air Interface;amendment;broadband wireless access;higher reliability networks;mobile broadband;orthogonal frequency-division multiple access;wireless metropolitan area networks,Air interfaces;Broadbanc;IEEE standards;Local area networks;Metropolitan area networks;OFDM;Radio communication;Wireless networks,IEEE standards;OFDM modulation;WiMax;broadband networks;frequency division multiple access;radio access networks;telecommunication network reliability,IEEE Std 802.16-2012;IEEE Std 802.16n<sup>TM</sup>-2013;IEEE standard;broadband wireless access system;higher reliability network;wireless MAN-OFDMA air interface,,0,,,,,,June 19 2013,,IEEE,IEEE Standards,wireless
"IRE Standards on Nuclear Techniques: Definitions for the Scintillation Counter Field, 1960",,,IEEE Std 175-1960 (60 IRE 13 S1),20130611,1960,,,1,6,"Reprinted from the proceedings of the I.R.E Vol. 48, NO.8 August 1960",,,10.1109/IEEESTD.1960.6529093,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6529093,,IEEE standards;Nuclear power generation;Scintillation counters;Terminology,,,,0,,,,,,Jan. 1 1960,,IEEE,IEEE Standards,
"Standards on Gas-Filled Radiation Counter Tubes: Methods of Testing, 1952",,,IEEE Std 159-1972 (52 IRE 7 S2),20130611,1952,,,1,7,"In setting up test procedures for radiation counter tubes, it is necessary to consider not only the test circuits but also the physical arrangements of test, such as nature of source, distance between source and counter, scattering by objects near the source or counter, shielding of the counter against unwanted radiations, and the background due to cosmic rays and general contamination. The relative importance of these various factors will depend on the type of counter under test",,,10.1109/IEEESTD.1952.6529096,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6529096,,Gas detectors;IEEE standards;Radiation counters;Testing,,,,0,,,,,,Aug. 1 1952,,IEEE,IEEE Standards,
IEEE Trial-Use Standard: General Guide for Qualifying Class I Electric Equipment for Nuclear Power Generating Stations,,,"IEEE No 323, April 1971",20130611,1971,,,1,7,This document describes the basic requirements for the qualification of Class I electric equipment. This is equipment which is essential to the safe shutdown and isolation of the reactor or whose failure or damage could result in significant release of radioactive material.,,,10.1109/IEEESTD.1971.6529090,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6529090,,Electric equipment;IEEE standards;Nuclear power generation;Performance evaluation;Power system reliability,IEEE standards;fission reactors;nuclear power stations,IEEE Std 323-1974;IEEE trial-use standard;class I electric equipment;nuclear power generating stations;radioactive material;reactor isolation;safe shutdown,,1,,,,,,April 1 1971,,IEEE,IEEE Standards,
"IEEE Guide for the Use of IEEE Std 1641, IEEE Standard for Signal and Test Definition",,,IEEE Std 1641.1-2013 (Revision of IEEE Std 1641.1-2006),20130606,2013,,,1,324,"Guidance in the use of the signal and test definition (STD) standard, IEEE Std 1641-2010, is provided. IEEE Std 1641 provides the means to define and describe signals used in testing. This guide describes how to form complex signals usable across all test platforms.",,,10.1109/IEEESTD.2013.6525309,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6525309,ATE;ATLAS;ATML;ATS;IEEE 1641.1;UUT;automatic test equipment;signal definitions;test definitions;test requirements;test signals;unit under test,Automatic test equipment;IEEE standards;Signal processing;Terminology,IEEE standards;signal detection,IEEE Standard;IEEE Std 1641-2010;IEEE Std 1641.1- 2013;IEEE Std 1641.1-2006 Revision,,0,,,,,,June 7 2013,,IEEE,IEEE Standards,equipment
IEEE Standard for Preferred Power Supply (PPS) for Nuclear Power Generating Stations (NPGS) - Redline,,,IEEE Std 765-2012 (Revision of IEEE Std 765-2006) - Redline,20130604,2013,,,1,46,"The design criteria of the preferred power supply (PPS) and its interfaces with the Class 1E power system, switchyard, transmission system, and alternate ac (AAC) source are described. This standard provides PPS requirements for nuclear power plants and guidance in the areas of AAC power source interfaces with PPS, physical independence of the PPS power and control circuits, and expanded PPS criteria for multi-unit stations.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6523050,AAC;Class 1E;IEEE 765;NPGS;PPS;alternate ac source;nuclear power generating station;preferred power supply;switchyard;transmission system,AC machines;IEEE standards;Nuclear power generation;Power transmission;Switching systems,,,,0,,,,,,Jan. 23 2013,,IEEE,IEEE Standards,system
IEEE Standard for Information Technology - Telecommunications and Information Exchange Between Systems - Local and Metropolitan Area Networks - Specific Requirements - Part 11: Wireless LAN Medium Access Control (MAC) and Physical Layer (PHY) Specifications - Redline,,,IEEE Std 802.11-2007 (Revision of IEEE Std 802.11-1999) - Redline,20130531,2007,,,1,1238,"This revision specifies technical corrections and clarifications to IEEE Std 802.11 forwireless local area networks (WLANS) as well as enhancements to the existing medium accesscontrol (MAC) and physical layer (PHY) functions. It also incorporates Amendments 1 through 8including a corrigendum.The ""IEEE Get Program"" grants public access to view and download individual PDFs of select standards at no charge. Visit http://standards.ieee.org/about/get/index.html for details.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6522432,2.4 GHz;4.9 GHz;5 GHz;AES;CCMP;CSMA/CA;Counter mode with Cipher-block chaining Messageauthentication code Protocol;DFS;LAN;MAC;PHY;QoS;RF;TKIP;TPC;WLAN;Wi-Fi;WiFi;advanced encryption standard;carrier sense multipleaccess/collision avoidance;confidentiality;dynamic frequency selection;international roaming;local area network;medium access controller;physicallayer;quality of service;radio frequency;temporal key integrity protocol;transmit power control;wireless LAN,Authentication;Ciphers;Collision avoidance;Encryption;IEEE standards;Information exhange;Local area networks;Metropolitan area networks;Power system control;Quality of service;Radio frequency,,,,4,,,,,,June 12 2007,,IEEE,IEEE Standards,wireless
IEEE Standard for Automatic Test Markup Language (ATML) Instrument Description - Redline,,,IEEE Std 1671.2-2012 (Revision of IEEE Std 1671.2-2008) - Redline,20130531,2013,,,1,52,"An exchange format is specified in this standard, using extensible markup language (XML), for identifying instrumentation that may be integrated in an automatic test system (ATS)that is to be used to test and diagnose a unit under test (UUT).",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6522438,ATML instance document;ATS;Automatic Test Markup Language (ATML);IEEE 1671.2;XML schema;automatic test equipment (ATE);automatic test system;instrument;instrumentation;synthetic instrument,Automatic test equipment;IEEE standards;Test equipment;XML,,,,1,,,,,,Feb. 15 2013,,IEEE,IEEE Standards,system
IEEE Standard Criteria for Class 1E Power Systems for Nuclear Power Generating Stations - Redline,,,IEEE Std 308-2012 (Revision of IEEE Std 308-2001) - Redline,20130531,2013,,,1,67,"Class 1E portions of ac and dc power systems and I&C power systems in single-unit and multiunit nuclear power generating stations are covered in this standard. The provision of criteria for the determination of Class 1E power system design features, criteria for sharing Class 1E power systems in multiunit stations, the requirements for their testing and surveillance, and the requirements for documentation of the Class 1E power system is the intent of this standard.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6522435,Class 1E power systems;IEEE 308;nuclear power station design;nuclear safety,Electrical safety;IEEE standards;Nuclear power generation;Power system reliability;Power systems planning;Safety,,,,0,,,,,,Jan. 16 2013,,IEEE,IEEE Standards,systems
